sentiment,text,user,
negative,RT @maybeeevirgo: when will it be virgo season i’m tired of this,333rror,
neutral,"RT @sunnylecter: muting/unfollowing/blocking is not always \i don't agree with you\"" or \""i don't like you\"""," sometimes it's just \""i'm so tire…""",winter_waits
negative,it’s acc true i’m tired of white saviour stories like bye https://t.co/Z6k5Gt6qtD,d3zbby,
negative,my counselor is TIRED bro needs some coffee💀,newyork_or_bust,
neutral,RT @MooBenson22: This 😞,Tired_Nigga,
negative,So tired 😴,Charlotte_K13,
negative,I’m Getting This The Day It Drops. I’m So Tired Of Misplacing My Wallet. https://t.co/ZxAPSl7NhQ,Okay_Wasabi,
positive,RT @IamMammaai: ~...Our ...SOUL...\nThat's Truly TIRED\n🖤💜\n      Only Need\n    Love &amp; Peace\n🖤💜\n    Craving ..FOR..\n        Passion\n       Fre…,Viral_Ghanta,
negative,RT @lilduval: y’all ain’t tired of hating on people going just because they chose to the club during the pandemic? 🙄,AllBri_,
negative,RT @shatu_tu_: Wallahi I can't walk anymore 😫😫😫... @ABU_Campus please bring back our bikes... subhanallah I'm so tired😥😥,AbbasTarget,
positive,At this point can i just give up already. Im tired of pretending that im fine. Iwkms.,t1shyou,
negative,‍  “Then go back to sleep. You still look quite tired.” https://t.co/A8f4LEtM5Y,MendaciousLiar,
negative,RT @Cyber_Fano: Massive protests in the streets of cities of the #Amhara region of #Ethiopia. The #Amhara people are tired of the #AmharaGe…,SEngedaw,
negative,RT @missspaulson: will never get tired of saying that this bby sarah paulson issa serve https://t.co/AmvvBdnAFw,catc0caine,
negative,"RT @spanishbarbzz: I’m tired of chasing the bag, can the bag chase ME?? https://t.co/cq2b3UMzRR",ogbritneyyy,
negative,Fkn tired of being this sensitive,BukhariZ88,
negative,@gabqvq IN MY DEFENSE IM A LITTLE TIRED,daramonnn,
negative,"RT @arjmxrell: tired, sad and overthinking",Alexa13542506,
negative,Even though I’m in a permanent state of tired I’ve never been this drained,unreachable__x,
neutral,@cat9_V закрой на ночь!!\nникакого двойного только одиночное,rimma_tired,
negative,I’m tyra be tired of me 😂😂😂 I’m always asking her to do some shxt for me 😂😂😂,myrvndx,
positive,RT @InternetHippo: my political views are that every car should look like this and when you honk the horn it’s the sound of a tired old man…,lemonlikesgirls,
positive,@hyuckpaws I'm good! A little tired but I'm about to continue my Gen drawing 😳 how are you? ˙˚ʚ(´◡`)ɞ˚˙,0Marsss,
positive,Lmao yoh I'm tired shem,tshegofatso_18,
negative,@BasedButFacts anyways I’m sick of repeating myself and I’m tired of arguing so have a nice fuckking day or whatever bye,CLOWNClRCUS,
negative,come home all of you I'm tired of nagging,okutogowon,
negative,RT @dtownsugapd: i’m so tired of him ffs https://t.co/dtXLWH7oKt,neivvi,
negative,"At Ford Field for round two. Maybe I just haven’t been in a major venue for too long, but popcorn is SIX FUCKING DO… https://t.co/wLu72S3HKa",Tired_andBored,
negative,RT @Simply_Spurs: We’re gonna bottle withdrawing from the ESL. Taking bottling to a new level. I’m tired of this club,CalumHeseltine,
positive,RT @qisskawa: dear bisexuals just a reminder that you are very valid and still bisexual even if you date someone of the same sex or the opp…,4K0DZUKEN,
negative,"RT @arjmxrell: Hug me, I’m mentally tired",GanhaoMarta,
negative,RT @MeetMckayla: Have I been arrested for marijuana possession? Yes. \nAm I ashamed of that? No. \n\nI am tired of privileged politicians admi…,10scr18,
negative,RT @bigdaddyvinz: you get tired. learn to rest not quit,DC_Olamii,
negative,"@memafor3kds @Jim_Jordan BLAH BLAH BLAH 😑 God damn this is getting tired! Stop saying the same meaningless, useless… https://t.co/s7avFAFaaE",graciemaddles,
negative,Tired of adulting I need a vacation,stephcodess,
negative,RT @EgosShadow7: What meal you can do in maximum 20 minutes? I'm hungry but lazy and tired 🥺😭,Directonerkalov,
negative,I'm so tired... Normally I'd still have time to draw every now and then but the past weeks have been so hard 💀💀💀💀 g… https://t.co/ox0OiOO1Pp,yankasmiles,
positive,@EazyMackk You ain’t neva lied big Hommie. Just wanna see people win’ tired of losing and see the desert get no where.,Cashinnoutc33z,
negative,@easyforcon LOOK I JUST GOT HOME FROM@WORK I@ TIRED LEAVE ME ALONE,parkershtl,
negative,RT @chuntheswae: Can we come up with something new I’m tired of these unpopular opinions threads being on the tl,hannahharajuku_,
negative,"RT @magicanarchist: too tired &amp; fatigued to be mad, just terrified at the way this accursed govt is betraying the country - vaccines MUST b…",gibberishwisdom,
positive,@oscarvanger11 @john9williams Hmm yea that may be somewhat true. At this point I care about the team just winning.… https://t.co/SUV9FTrztB,david76567,
negative,I’m having such an off week ugggggghhhhh I’m so tired of this,beccacamping_,
negative,"Tired. Just, tired.",GalacticNebba,
positive,RT @ManishS_SG: 🙄😥...I got tired watching .. 😓how many times did she do it? https://t.co/FNWj87W9FP,siva25475697,
