sentiment,text,user,,,
neutral,"@Niciger To bagra i želi - da mi dignemo ruke od kluba. Duboko verujem da taj dan nikad neće doći, i da će baš ovo… https://t.co/IRq46HDc7W",thecompanero011,,,
negative,So sad 💔,Inaolamiji1,,,
neutral,모가... \n\n https://t.co/Chj9KAC21e,sad_hiphop,,,
negative,We were really waiting for a positive news. This is sad.💔 https://t.co/Xsg3loco6J,winnerthegirl,,,
negative,"RT @meridianbetme: 📣 Pazi sad! još brža i jednostavnija dopunu meridianbet računa putem kartice, bez nadoknade dopuni depozit u bilo kom mo…",_vedran7,,,
neutral,@LauraFMcConnell @SueReviews @milton_damian @thewoodbug @MsJoBillington @CharleneTait_SA @nickmward @FionaSnp… https://t.co/BtemuXjI3F,WanderingPsych,,,
negative,@Ada_Nsukka_ Islamization and Fulanization agenda of Buhari government very sad. https://t.co/MYbQT6Qcl1,gabriel_ossai,,,
negative,"@UmohUduak1 Obviously those guys do this alot, I can imagine how many people have been victims of this evil act tha… https://t.co/T4pulKhnXl",seymaster1,,,
negative,Taemin : Don't be too sad\nMe : \n\n#TAEMIN_BeyondLive https://t.co/jYQgNipoHC,SiriusMoonchild,,,
negative,"RT @ThePlacardGuy: On a serious note, feeling extremely sad for people like her who laid down their lives. I don't know what went wrong in…",coolrahul311292,,,
negative,"RT @ThePlacardGuy: On a serious note, feeling extremely sad for people like her who laid down their lives. I don't know what went wrong in…",Aditya69Thakur,,,
negative,look at ne being sad brrrrt,bellaquackgog,,,
negative,thank you for not plauying anymore sad song but anyways time to skip,GH0STHQ,,,
negative,my mind is a sad place sometimes,Helloimashley10,,,
negative,Sad okiee,zakisamo_,,,
negative,@kaptenmoorgan Sad truth😭,rennvelvetx,,,
negative,All she wanted was a Job. Thats all. So sad. 💔💔💔💔💔,T051N,,,
positive,https://t.co/wbZf5qcTcf Until teachers are given the freedom to educate our students on race based on modern scienc… https://t.co/kZnPFrxMJW,JaySumlin1,,,
negative,RT @zeeraahh: today really is the end of our comeback promo this is always sad,piockyjr,,,
negative,This is really sad 💔. I was really hopeful,Darasimi__,,,
neutral,RT @_theFisayo: Inna lillahi wa inna ilayhi rajiun 💔\n\nThis is so sad. I hope they get Justice. \n\nGoing out and coming back safely in this c…,bambi__bambs,,,
negative,"RT @SF9__Unofficial: [INFO] [#싱글즈] Chani, \I always played sad characters"," so I thought a lot about how to show another side of sad this ti…""",inseongeffect,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,iammeekflawlez2,,,
positive,This is the most heartbreaking tweet I’ve seen today! I was really hoping they find the girl alive! My God! Soo soo… https://t.co/CYUJE4RHC0,mzzDzifa,,,
negative,This is too sad,_omeizaa,,,
negative,@TheOnlyOzy Infact its too sad,MzJUDDIE,,,
negative,RT @iamoliver_may22: That baba ijesha video is sick\n\nBaba ijesha can be jailed for sexual interference with a minor. The girl is just 14 fg…,eniola3636,,,
negative,@bojubaby It’s so sad,jubrxll,,,
negative,@iSlimfit @UmohUduak1 We all were ooo... This is so sad...,charliechakra,,,
negative,"RT @borahaebich: Getting buttered means \getting drunk\"" so it's a twerking song with sad lyrics where bangtan drink and be gay and sad afte…""",lomltaete,,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,Diego_clemzy,,,
positive,RT @voicexist: • Lawyer: The Good Wife (2019)\n• Flight Attendant: FLY!BOYS!FLY SP (2019)\n• Nurse: Nijiiro Karute (2021)\n• Interns: Night Do…,akiramenaizee,,,
negative,I’m literally so sad. I don’t know what to do.,kissesforjaemin,,,
negative,This is so sad.,fiyin_a_,,,
negative,"RT @SchoonerLita: @luciemorrismarr It's just so sad, nearly every family effected and the politicians just walk away rewarded for their ind…",WgarNews,,,
negative,I saw the tweet from her friend And tears rolled down from nowhere.... The news has ruined my day. God I was hoping… https://t.co/oi7io4eDFd,Zinxiee1,,,
negative,can someone upload the danger stage so i wont feel too sad anymire,serotaemin,,,
negative,Im sad I'm so sad,nyushinee,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",Ahgasophie,,,
negative,@_777grace Damn tats sad,Hunter_oof,,,
negative,"Bestie I had a mental breakdown today, I'm gonna have another one if these romantic sad songs comes on my tik tok f… https://t.co/By8wXM9pHv",1stSamn,,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,KamzGroup,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",917cyj,,,
neutral,Я умею делать хорошие подарки на праздники. Сегодня вот ухожу хрен знает куда на хрен знает сколько. Семья рада. Ск… https://t.co/YrBsgOczHf,sad_and_numb,,,
negative,@PhejayP Hays mao sad lagi dad,Tinnytinexxx,,,
negative,so my computer was not recording anim actually so sad,bigdaddyminho,,,
negative,@UmohUduak1 @PoliceNG was waiting for 48hours. Sad,Okafornnewi,,,
negative,RT @lawrenx_: sad news everywhere.,Kitkat_Melony,,,
negative,@Prome_theus01 You get!!!\nThis is so sad 😭😭,EKuyet,,,
negative,Feeling sad for @rahulkanwal @chitraaum 🥱🥱🥱,KumarAmit0812,,,
negative,i watched the fault in our starts last night and cried myself to sleep wtf it’s so sad,gladersfilms,,,
positive,RT @haivri: Very sad day for Israel and the Jewish people. \n\nConcordances to the families who lost their loved ones and prayers for those i…,LehiRed,,,
negative,This is really sad😭😭😭😭 may her soul rest in peace https://t.co/ZScHMS8TQS,UduakCallistus,,,
negative,@UmohUduak1 Jeez..This is sad,TobiSpeaks,,,
negative,"RT @DemolaRewaju: Sad to hear Ini Umoren was killed, really sad.\n\nPlease be careful on this app and everywhere. Evil people do everything n…",Rolex7Michael,,,
negative,This is so sad,Tejire_,,,
neutral,Христос воскрес https://t.co/QfqDYqmNUh,sad_shmeker,,,
neutral,RT @efaperfume: Sedih la teringat raya tahun lepas paling sendu gila. Sarung baju raya 15 minit pastu makan pastu habis raya. We sacrificed…,shxwtymxne_,,,
negative,"@UmohUduak1 It's sad to know you could loss your life while looking for a job in this Nigeria, we are thriving to b… https://t.co/RFOSdBKORt",bozman4rael,,,
negative,"\stop posting sad adele songs\"" mf tell adele to stop writing songs about stsg\nhttps://t.co/6ZwhUaM1LG""",shawtyhawks,,,
negative,RT @chyngyozil: God!!! This is sad and heartless. They killed her 😢,Iamkaykingz,,,
negative,RT @sheni_coker: Such a sad way to start a day. May her soul Rest In Peace. Really sad sad,xakalicious,,,
negative,@IACAbhi Very sad 😥😥😥 stay safe..😷😷😷,ASHISHKUMARTUR5,,,
negative,i just wanna be appreciated 😔 frick u mom u make me sad,kabukiigirl,,,
neutral,taemin: don't be sad okay?\nalso taemin: *cries*,baemiiin,,,
negative,yk how sad would kin mads mikkelsen if he wasn’t a real person? me with daniel bruhl https://t.co/WTnFe4DM9s,catboyamato,,,
negative,Sad https://t.co/CXjnfByLwS,Odinkim23,,,
negative,This is really sad. \nReally really sad.,Viqforlan,,,
negative,"@BastetSilver @markcf83 @metpoliceuk I got it ok thanks, now off you go back to your desperate and sad followers of twitter land",marktracey87,,,
positive,"RT @haivri: There is a huge tragedy in Israel, during the night tens of worshipers were killed and hundreds injured in a human stampede at…",LehiRed,,,
negative,RT @imnamjoonkim: Being an army doesn't necessarily mean that it is compulsory for you to have all albums and merch. I've been an army for…,egoseokkk,,,
neutral,RT @efaperfume: Sedih la teringat raya tahun lepas paling sendu gila. Sarung baju raya 15 minit pastu makan pastu habis raya. We sacrificed…,_NFarhanaAAzeli,,,
negative,RT @BolWrld: It’ll be a sad day in basketball when Lebron Retires. https://t.co/x2mWwD23vZ,johnnykbeatz,,,
negative,People are still in denial it’s so funny! And incredibly sad. https://t.co/f8sF3sUeEg,BloggoJones,,,
negative,RT @BBCCasualty: We’re sad to see you go Leon! \n \nThe Holby ED doors are always open for you 🤗\n \n#Casualty https://t.co/86im9xf9Ba,MissGBeauchamps,,,
negative,"@UmohUduak1 @Irunnia_ OMG, this is so Sad to hear \nMay her soul rest in peace",Emmaxeboh,,,
positive,"Yeah if Didi didn't raise the issue BJP could have win, bhakts could have not demanded burnol. So sad.… https://t.co/rMMN6fqCRr",KomediGoon,,,
neutral,@gxgacc Cumlaude,Sad_dxvxl,,,
negative,im probably just gonna be ia i don’t wanna be sad on the tl,DJARINSBF,,,
negative,@shoutdr Aww sad,BkgKski,,,
negative,RT @waad00med: Why did my last two brain cells have to be a sad one and a stupid one,UmeKals87398856,,,
negative,@_mide_j I actually did pray for her I’m soo sad,traycie__,,,
negative,There is a BMW that uprooted a tree along Robert Mugabe at Pub Gondola in the early hours of this morning. It was a sad sight 💔,kenniekays,,,
negative,"RT @HilllZoey: When you are sad alone, the mirror doubles loneliness. https://t.co/h8ZaWQtpJY",DarbyLindgren,,,
positive,"RT @ViggyStrdust: This is a dystopian Hunger games-esque event. It is incredibly stressful, anxiety inducing &amp; maddening for those who can…",Shafiq_Razak,,,
negative,"RT @DemolaRewaju: Sad to hear Ini Umoren was killed, really sad.\n\nPlease be careful on this app and everywhere. Evil people do everything n…",keepee101,,,
negative,"@Zen_firee Sad, I pray her family has the strength to bare the loss.",KING_TJB,,,
negative,@shawen17 It's sad.,_Scorpio7,,,
negative,@queen_Marihana Very sad 😔,Sommiiiee,,,
negative,@kofoworola_aa Very sad.,2Ibikunle,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",prdefshyuck,,,
negative,"RT @michaelmina_lab: I feel very distraught about what is happening w COVID in India. At moment, I am distraught (and extremely sad) bc thi…",GameDevGary,,,
negative,@UmohUduak1 This is sad\n\nSo sorry for your loss,officializucee,,,
negative,@QuratulAin__007 @ImranKhanPTI It's really heart breaking Siso💔\nVery very sad to know that what\nPain your going thr… https://t.co/YVOzNz3uoD,sadafsheriff35,,,
negative,@Chiebuniem_ I literally just retweeted a post with her hashtag. So sad. May she rest in peace and may her killers never know peace,reeses_peaceee,,,
negative,@VictorIsrael_ This is sad,Eddy_jasper,,,
negative,this is so sad,hyukflwr,,,
negative,@Obongowoibesik1 Sad,CAPT__Vincent,,,
negative,"RT @cassrenforevs: ang dami mo kayang paassurance Sir, wag na ikaw sad boy HAHAHA\n\nSaCassRenMAYForever\n#CassRen\n@Espanto2001 \n@LegaspiCassy",CassRen17,,,
neutral,"@Sad_Earthling Hvor er den smuk. Tak, fordi du åbner mine øjne for vores smukke fugle",IreneJosefsen,,,
neutral,"@Niciger To bagra i želi - da mi dignemo ruke od kluba. Duboko verujem da taj dan nikad neće doći, i da će baš ovo… https://t.co/IRq46HDc7W",thecompanero011,,,
negative,So sad 💔,Inaolamiji1,,,
neutral,모가... \n\n https://t.co/Chj9KAC21e,sad_hiphop,,,
negative,We were really waiting for a positive news. This is sad.💔 https://t.co/Xsg3loco6J,winnerthegirl,,,
negative,"RT @meridianbetme: 📣 Pazi sad! još brža i jednostavnija dopunu meridianbet računa putem kartice, bez nadoknade dopuni depozit u bilo kom mo…",_vedran7,,,
neutral,@LauraFMcConnell @SueReviews @milton_damian @thewoodbug @MsJoBillington @CharleneTait_SA @nickmward @FionaSnp… https://t.co/BtemuXjI3F,WanderingPsych,,,
negative,@Ada_Nsukka_ Islamization and Fulanization agenda of Buhari government very sad. https://t.co/MYbQT6Qcl1,gabriel_ossai,,,
negative,"@UmohUduak1 Obviously those guys do this alot, I can imagine how many people have been victims of this evil act tha… https://t.co/T4pulKhnXl",seymaster1,,,
negative,Taemin : Don't be too sad\nMe : \n\n#TAEMIN_BeyondLive https://t.co/jYQgNipoHC,SiriusMoonchild,,,
negative,"RT @ThePlacardGuy: On a serious note, feeling extremely sad for people like her who laid down their lives. I don't know what went wrong in…",coolrahul311292,,,
negative,"RT @ThePlacardGuy: On a serious note, feeling extremely sad for people like her who laid down their lives. I don't know what went wrong in…",Aditya69Thakur,,,
negative,look at ne being sad brrrrt,bellaquackgog,,,
negative,thank you for not plauying anymore sad song but anyways time to skip,GH0STHQ,,,
negative,my mind is a sad place sometimes,Helloimashley10,,,
negative,Sad okiee,zakisamo_,,,
negative,@kaptenmoorgan Sad truth😭,rennvelvetx,,,
negative,All she wanted was a Job. Thats all. So sad. 💔💔💔💔💔,T051N,,,
positive,https://t.co/wbZf5qcTcf Until teachers are given the freedom to educate our students on race based on modern scienc… https://t.co/kZnPFrxMJW,JaySumlin1,,,
negative,RT @zeeraahh: today really is the end of our comeback promo this is always sad,piockyjr,,,
negative,This is really sad 💔. I was really hopeful,Darasimi__,,,
neutral,RT @_theFisayo: Inna lillahi wa inna ilayhi rajiun 💔\n\nThis is so sad. I hope they get Justice. \n\nGoing out and coming back safely in this c…,bambi__bambs,,,
negative,"RT @SF9__Unofficial: [INFO] [#싱글즈] Chani, \I always played sad characters"," so I thought a lot about how to show another side of sad this ti…""",inseongeffect,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,iammeekflawlez2,,,
positive,This is the most heartbreaking tweet I’ve seen today! I was really hoping they find the girl alive! My God! Soo soo… https://t.co/CYUJE4RHC0,mzzDzifa,,,
negative,This is too sad,_omeizaa,,,
negative,@TheOnlyOzy Infact its too sad,MzJUDDIE,,,
negative,RT @iamoliver_may22: That baba ijesha video is sick\n\nBaba ijesha can be jailed for sexual interference with a minor. The girl is just 14 fg…,eniola3636,,,
negative,@bojubaby It’s so sad,jubrxll,,,
negative,@iSlimfit @UmohUduak1 We all were ooo... This is so sad...,charliechakra,,,
negative,"RT @borahaebich: Getting buttered means \getting drunk\"" so it's a twerking song with sad lyrics where bangtan drink and be gay and sad afte…""",lomltaete,,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,Diego_clemzy,,,
positive,RT @voicexist: • Lawyer: The Good Wife (2019)\n• Flight Attendant: FLY!BOYS!FLY SP (2019)\n• Nurse: Nijiiro Karute (2021)\n• Interns: Night Do…,akiramenaizee,,,
negative,I’m literally so sad. I don’t know what to do.,kissesforjaemin,,,
negative,This is so sad.,fiyin_a_,,,
negative,"RT @SchoonerLita: @luciemorrismarr It's just so sad, nearly every family effected and the politicians just walk away rewarded for their ind…",WgarNews,,,
negative,I saw the tweet from her friend And tears rolled down from nowhere.... The news has ruined my day. God I was hoping… https://t.co/oi7io4eDFd,Zinxiee1,,,
negative,can someone upload the danger stage so i wont feel too sad anymire,serotaemin,,,
negative,Im sad I'm so sad,nyushinee,,,
